timestamp, index, utilization.gpu [%], memory.used [MiB]
2025/09/30 23:29:13.408, 0, 39 %, 48164 MiB
2025/09/30 23:29:13.412, 1, 100 %, 27648 MiB
2025/09/30 23:29:43.418, 0, 100 %, 13790 MiB
2025/09/30 23:29:43.418, 1, 0 %, 46398 MiB
2025/09/30 23:30:13.419, 0, 0 %, 18058 MiB
2025/09/30 23:30:13.419, 1, 76 %, 44038 MiB
2025/09/30 23:30:43.420, 0, 0 %, 23480 MiB
2025/09/30 23:30:43.420, 1, 75 %, 43128 MiB
2025/09/30 23:31:13.421, 0, 77 %, 29100 MiB
2025/09/30 23:31:13.421, 1, 16 %, 41574 MiB
2025/09/30 23:31:43.422, 0, 0 %, 32176 MiB
2025/09/30 23:31:43.422, 1, 75 %, 33582 MiB
2025/09/30 23:32:13.423, 0, 0 %, 38148 MiB
2025/09/30 23:32:13.423, 1, 77 %, 32676 MiB
2025/09/30 23:32:43.424, 0, 78 %, 44328 MiB
2025/09/30 23:32:43.424, 1, 13 %, 33136 MiB
2025/09/30 23:33:13.425, 0, 0 %, 19474 MiB
2025/09/30 23:33:13.426, 1, 77 %, 37248 MiB
2025/09/30 23:33:43.426, 0, 1 %, 25902 MiB
2025/09/30 23:33:43.427, 1, 64 %, 40376 MiB
2025/09/30 23:34:13.427, 0, 0 %, 36052 MiB
2025/09/30 23:34:13.428, 1, 61 %, 47064 MiB
2025/09/30 23:34:43.428, 0, 0 %, 41076 MiB
2025/09/30 23:34:43.428, 1, 78 %, 34578 MiB
2025/09/30 23:35:13.429, 0, 0 %, 47756 MiB
2025/09/30 23:35:13.429, 1, 51 %, 46006 MiB
2025/09/30 23:35:43.430, 0, 41 %, 22968 MiB
2025/09/30 23:35:43.430, 1, 77 %, 35982 MiB
2025/09/30 23:36:13.431, 0, 0 %, 34450 MiB
2025/09/30 23:36:13.431, 1, 100 %, 35390 MiB
2025/09/30 23:36:43.432, 0, 0 %, 24860 MiB
2025/09/30 23:36:43.432, 1, 0 %, 41958 MiB
2025/09/30 23:37:13.433, 0, 0 %, 24860 MiB
2025/09/30 23:37:13.433, 1, 0 %, 41958 MiB
2025/09/30 23:37:43.434, 0, 0 %, 24860 MiB
2025/09/30 23:37:43.434, 1, 0 %, 41958 MiB
2025/09/30 23:38:13.435, 0, 3 %, 24860 MiB
2025/09/30 23:38:13.435, 1, 9 %, 41958 MiB
2025/09/30 23:38:43.436, 0, 5 %, 24860 MiB
2025/09/30 23:38:43.437, 1, 12 %, 41958 MiB
2025/09/30 23:39:13.437, 0, 0 %, 24860 MiB
2025/09/30 23:39:13.438, 1, 9 %, 41958 MiB
2025/09/30 23:39:43.438, 0, 5 %, 24860 MiB
2025/09/30 23:39:43.439, 1, 10 %, 41958 MiB
2025/09/30 23:40:13.439, 0, 4 %, 24860 MiB
2025/09/30 23:40:13.439, 1, 10 %, 41958 MiB
2025/09/30 23:40:43.440, 0, 0 %, 24860 MiB
2025/09/30 23:40:43.440, 1, 9 %, 41958 MiB
2025/09/30 23:41:13.441, 0, 0 %, 1 MiB
2025/09/30 23:41:13.441, 1, 0 %, 1 MiB
2025/09/30 23:41:43.442, 0, 0 %, 1 MiB
2025/09/30 23:41:43.442, 1, 0 %, 1 MiB
2025/09/30 23:42:13.443, 0, 0 %, 1 MiB
2025/09/30 23:42:13.443, 1, 0 %, 1 MiB
2025/09/30 23:42:43.444, 0, 0 %, 1 MiB
2025/09/30 23:42:43.444, 1, 0 %, 1 MiB
2025/09/30 23:43:13.445, 0, 3 %, 5810 MiB
2025/09/30 23:43:13.445, 1, 19 %, 8718 MiB
2025/09/30 23:43:43.446, 0, 18 %, 5810 MiB
2025/09/30 23:43:43.446, 1, 42 %, 8718 MiB
2025/09/30 23:44:13.447, 0, 29 %, 5810 MiB
2025/09/30 23:44:13.447, 1, 25 %, 9420 MiB
2025/09/30 23:44:43.447, 0, 19 %, 7000 MiB
2025/09/30 23:44:43.448, 1, 26 %, 10260 MiB
2025/09/30 23:45:13.449, 0, 21 %, 7000 MiB
2025/09/30 23:45:13.449, 1, 30 %, 11602 MiB
2025/09/30 23:45:43.450, 0, 0 %, 7402 MiB
2025/09/30 23:45:43.450, 1, 55 %, 12398 MiB
2025/09/30 23:46:13.451, 0, 40 %, 7850 MiB
